"Section","Item","Value","Trust","Note"
"Measures","Current rent per bed — A41 bed D2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A44 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A44 bed B1","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A44 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A44 bed C1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — A44 bed D1","₹24,000.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B11 bed A1","₹19,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B11 bed B1","₹14,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B11 bed B2","₹15,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B11 bed C2","₹13,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
"Measures","Current rent per bed — B11 bed D1","₹25,500.00","Usable, with a caveat","Rent is recorded per bed on the allotment occupying it, and the beds in one apartment often carry different rents, so there is no single apartment rent. Recorded zero values are kept as recorded: the export does not establish whether a zero is a genuine zero-rent arrangement or a rent that was never entered."
