bed_id,allotment_1,allotment_2,a1_in,a1_out,a1_status,a2_in,a2_out,a2_status,overlap_start,overlap_end
18cdbd64-ea17-6578-2f54-2b5ad8a2c7fe,77b097a8-e856-4264-a152-5fc4d84e06a0,9e147869-9f68-418d-af1c-8cdb85f540ed,2025-03-01,2025-07-05,Exited,2025-03-01,2025-03-01,Exited,2025-03-01,2025-03-01
18cdbd64-ea17-6578-2f54-2b5ad8a2c7fe,ce72357c-0720-4252-89f1-98224577f53b,d3781754-4ad0-45fb-b64f-9153d1b33e6a,2025-11-06,2025-11-06,Exited,2025-08-10,2025-11-06,Exited,2025-11-06,2025-11-06
19becc73-ba94-4a59-e2ef-19d1d342aee3,32ac9378-63fc-44d1-ae65-245ee1c47e4a,ac4ee6a6-486f-4b41-b3c7-71ce9034e813,2024-05-01,2024-05-31,Exited,2023-12-02,2024-05-03,Exited,2024-05-01,2024-05-03
1de2d676-6b57-57c9-570d-27116c18b3cc,e12a4a6d-8b94-415d-b58a-aee4e5847605,e195680c-5ff9-464e-8228-089b76f4ea72,2025-01-27,2025-08-11,Exited,2025-08-11,2025-10-02,Exited,2025-08-11,2025-08-11
1de2d676-6b57-57c9-570d-27116c18b3cc,e195680c-5ff9-464e-8228-089b76f4ea72,fff45ee4-c493-4b5d-abc2-2a79ee66e725,2025-08-11,2025-10-02,Exited,2025-09-01,2025-09-01,Exited,2025-09-01,2025-09-01
1f70e1f3-db99-3d9f-94a0-610b383d5702,18df6412-8498-4a2a-9064-5a6222f47aa6,ef823612-4b54-4f21-90df-37501ad634e3,2022-08-02,2023-04-06,Exited,2023-03-20,2024-03-31,Exited,2023-03-20,2023-04-06
1f70e1f3-db99-3d9f-94a0-610b383d5702,6cd23393-298c-495f-ae83-185c23576866,c4d5ce55-6bde-429a-8f2c-049d9cb5b4be,2025-05-13,2025-06-12,Exited,2025-06-08,2025-06-08,Exited,2025-06-08,2025-06-08
1f70e1f3-db99-3d9f-94a0-610b383d5702,6cd23393-298c-495f-ae83-185c23576866,b46cb807-c10b-4429-97e3-b1f1484fa2e9,2025-05-13,2025-06-12,Exited,2025-06-08,2025-07-06,Exited,2025-06-08,2025-06-12
1f70e1f3-db99-3d9f-94a0-610b383d5702,b46cb807-c10b-4429-97e3-b1f1484fa2e9,c4d5ce55-6bde-429a-8f2c-049d9cb5b4be,2025-06-08,2025-07-06,Exited,2025-06-08,2025-06-08,Exited,2025-06-08,2025-06-08
2225fe89-e491-892a-6af9-3161efe26613,20fc25b0-4fcb-4ade-b806-7fe1bc2a04e7,e5980cb7-efa5-4b3a-aad0-aae5ad32fac6,2024-08-18,2024-10-04,Exited,2024-10-01,2024-10-31,Exited,2024-10-01,2024-10-04
22718a42-c413-2da1-bcc2-87755dd1e12b,1441a9f4-467e-4388-b211-567d85af8e05,62dc2b76-d436-4b3d-8d68-d366afc0ac24,2024-12-16,2025-02-15,Exited,2023-10-24,2024-12-19,Exited,2024-12-16,2024-12-19
22718a42-c413-2da1-bcc2-87755dd1e12b,1441a9f4-467e-4388-b211-567d85af8e05,5c6e4440-a7b7-4d5b-baec-a422ba050dcd,2024-12-16,2025-02-15,Exited,2025-02-03,null,Staying,2025-02-03,2025-02-15
