invoice_id,invoice_number,invoice_date,billing_month,invoice_type,status,is_deleted,source_amount,ledger_amount,difference,entry_count,reversal_count
09e3a2c6-fc72-4b79-9c73-630b0fafd10d,VISTA/26-27/05/00077,2026-05-01,2026-05,regular,pending,false,11875.00,87635.00,75760.00,15,7
85c6ba63-0f90-4667-9eba-23933470bf94,VISTA/26-27/08/00043,2026-08-01,2026-08,regular,pending,false,14574.00,90248.00,75674.00,11,5
d4b7581f-2cc5-4da4-a166-58d77dd07263,VISTA/26-27/05/00080,2026-05-01,2026-05,regular,pending,false,16780.00,86506.00,69726.00,9,4
4ae4414e-d014-4a9b-8df9-6c3f732758d9,VISTA/26-27/07/00116,2026-07-01,2026-07,regular,pending,false,18410.00,84618.00,66208.00,9,4
a7bb02b9-7563-470b-bf34-1a408ff62c86,VISTA/26-27/05/00035,2026-05-01,2026-05,regular,pending,false,19897.00,82200.00,62303.00,7,3
85fb6e9e-5991-4895-81c5-b0dfab90e5c3,VISTA/26-27/05/00160,2026-05-01,2026-05,regular,pending,false,32380.00,94250.00,61870.00,5,2
3579c39c-6c79-4981-8f9c-433e7fa9128f,VISTA/26-27/05/00028,2026-05-01,2026-05,regular,pending,false,25508.00,83335.00,57827.00,7,3
b4fc6e19-e5dc-4efd-a083-229d7de49dcc,VISTA/26-27/05/00013,2026-05-01,2026-05,regular,pending,false,18240.00,73320.00,55080.00,7,3
380f2aec-7072-48a5-8b6b-ec98b35be06c,VISTA/26-27/07/00080,2026-07-01,2026-07,regular,pending,false,18065.00,72258.00,54193.00,7,3
f84b3500-2f9e-449f-b9c7-2aeeb8f0321f,VISTA/26-27/07/00198,2026-07-01,2026-07,regular,pending,false,13828.00,61013.00,47185.00,9,4
431ff227-f2dc-40d1-9d6f-805121b9353a,VISTA/26-27/07/00066,2026-07-01,2026-07,regular,pending,false,21150.00,61671.00,40521.00,5,2
3c2947f9-9dee-4285-8aa8-6011ca8a8677,VISTA/26-27/07/00025,2026-07-01,2026-07,regular,pending,false,17195.00,56893.00,39698.00,5,2
4cdf76e4-c55d-4f3c-b21c-455672d01732,VISTA/26-27/07/00177,2026-07-01,2026-07,regular,pending,false,19824.00,59248.00,39424.00,5,2
a657ebf6-b0ad-421c-9c37-7d3bb134b643,VISTA/26-27/05/00103,2026-05-01,2026-05,regular,pending,false,19005.00,58369.00,39364.00,5,2
556071ad-6c53-4b32-99a5-44865f77c00d,VISTA/26-27/05/00017,2026-05-01,2026-05,regular,pending,false,18800.00,56744.00,37944.00,5,2
419275a9-a44c-4377-a341-65de39ccbcfb,VISTA/26-27/07/00018,2026-07-01,2026-07,regular,pending,false,18088.00,54745.00,36657.00,5,2
fc2e2aaf-beef-42cd-b3b7-d49ef5b03957,VISTA/26-27/07/00017,2026-07-01,2026-07,regular,pending,false,18088.00,54745.00,36657.00,5,2
97a9b403-bd76-42ad-af22-f28c43e4183a,VISTA/26-27/05/00108,2026-05-01,2026-05,regular,pending,false,18049.00,54517.00,36468.00,5,2
17df809a-e3c8-4660-a618-00fb718563aa,VISTA/26-27/08/00079,2026-08-01,2026-08,regular,pending,false,16298.00,51358.00,35060.00,7,3
c99b0eab-ebdb-4125-a278-f9e4617db90b,VISTA/26-27/07/00022,2026-07-01,2026-07,regular,pending,false,17782.00,52212.00,34430.00,5,2
b7b49070-ba19-4b7a-9d06-34b13aa8c2ef,VISTA/26-27/07/00171,2026-07-01,2026-07,regular,pending,false,17230.00,51600.00,34370.00,5,2
