organization_id,maintenance_item_id,current_stock,minimum_stock_level,last_purchase_cost
00000000-0000-0000-0000-000000000001,b87e377a-440a-47da-969b-e58d02a603b9,0,1,null
00000000-0000-0000-0000-000000000001,bce40ec6-5710-4f81-8544-1b549880e75d,0,1,null
00000000-0000-0000-0000-000000000001,c6d24ad2-d320-4902-a08a-0188fc36882e,0,1,null
00000000-0000-0000-0000-000000000001,c7e95e80-f745-43c2-8f6a-62bbecceb061,0,1,null
00000000-0000-0000-0000-000000000001,c890b261-b2b9-4d2a-bf04-ac3debe9caed,0,1,null
00000000-0000-0000-0000-000000000001,c9fc298a-dda8-4015-9468-8242d799ae14,0,1,null
00000000-0000-0000-0000-000000000001,d17a41c2-8109-4d3f-9999-2187c4140349,0,1,null
00000000-0000-0000-0000-000000000001,d203a3b5-a25b-40e7-ac6e-f836107b7949,0,1,null
00000000-0000-0000-0000-000000000001,d3ac9d62-1a45-4f92-8efe-eeb231f93132,0,1,null
00000000-0000-0000-0000-000000000001,d585df4c-4b7f-4bcf-9c7a-c769f793caa8,0,1,null
00000000-0000-0000-0000-000000000001,d8999887-aedd-4da6-9463-e3f5c7ae9333,0,1,null
00000000-0000-0000-0000-000000000001,da6a8fe7-7d51-4937-acdd-7c1e515c9614,0,1,null
00000000-0000-0000-0000-000000000001,dac1eec6-5e0b-44bb-bf19-7097d5a436fc,0,1,null
00000000-0000-0000-0000-000000000001,dd2ebf08-cc87-4031-8ecc-80fb04f0e5e8,0,1,null
00000000-0000-0000-0000-000000000001,de7882eb-055a-449b-921b-30a9d7569c48,0,1,null
00000000-0000-0000-0000-000000000001,e39d7458-5dd1-446c-85d7-2988649fea4f,0,1,null
00000000-0000-0000-0000-000000000001,e6804bcb-eaeb-4b2d-adce-ce0eb9721358,0,1,300
00000000-0000-0000-0000-000000000001,e781fc37-3a87-4ea6-b3ea-e7bb299b5dd8,1,1,350
00000000-0000-0000-0000-000000000001,e7f9f70f-daee-4b34-9de2-011a1a78ea16,0,0,80
00000000-0000-0000-0000-000000000001,e84359f4-993b-4640-ba88-1071a0ddba61,0,1,null
00000000-0000-0000-0000-000000000001,eaba274b-5cc3-4237-b938-779b7574eaed,0,1,null
00000000-0000-0000-0000-000000000001,f0357f74-774a-4092-a147-910f632881e5,0,0,null
00000000-0000-0000-0000-000000000001,f3acf83d-be75-41e1-b244-2d4d57fa96be,0,1,null
00000000-0000-0000-0000-000000000001,f5fb2c8d-21dd-42aa-995b-715976739fe5,0,0,null
