table_schema,table_name,column_name,data_type,min_value,max_value,avg_value,negative_rows,zero_rows,looks_monetary
public,subscription_plans,max_apartments,integer,5,9999,2518.5000,0,0,false
public,subscription_plans,max_beds,integer,20,9999,2567.2500,0,0,false
public,subscription_plans,max_properties,integer,1,999,251.7500,0,0,false
public,subscription_plans,max_tenants,integer,20,9999,2567.2500,0,0,false
public,subscription_plans,max_users,integer,2,999,255.2500,0,0,false
public,subscription_plans,price_monthly,numeric,0,19999,7749.2500,0,1,true
public,subscription_plans,price_yearly,numeric,0,199990,77492.5000,0,1,true
public,subscription_plans,sort_order,integer,1,4,2.5000,0,0,false
public,team_attendance,overtime_hours,numeric,null,null,null,0,0,false
public,team_members,free_leave_days,integer,0,0,0.0000,0,20,false
public,team_members,salary_amount,numeric,0,35000,13450.0000,0,6,true
public,team_members,work_hours_per_day,numeric,8,8,8.0000,0,0,false
public,team_payments,amount,numeric,2420,27420,15946.6667,0,0,true
public,team_salary_bills,advance_deducted,numeric,0,0,0.0000,0,71,false
public,team_salary_bills,base_salary,numeric,0,35000,17915.4930,0,5,true
public,team_salary_bills,earned_salary,numeric,0.00,35000.00,14978.2879,0,5,true
public,team_salary_bills,net_payable,numeric,0.00,35000.00,14978.2879,0,5,true
public,team_salary_bills,other_deductions,numeric,0,0,0.0000,0,71,true
public,team_salary_bills,present_days,integer,5,30,21.3803,0,0,false
public,team_salary_bills,working_days,integer,26,31,26.2676,0,0,false
public,tenant_adjustments,amount,numeric,0,30000,1975.8375,0,1,true
public,tenant_allotments,balance_due,numeric,0,52493,831.9256,0,1116,true
public,tenant_allotments,deposit_paid,"numeric(10,2)",0.00,52500.00,5517.9316,0,921,true
public,tenant_allotments,discount,"numeric(10,2)",0.00,3300.00,104.0396,0,1109,true
public,tenant_allotments,expected_stay_days,integer,30,60,41.4000,0,0,false
public,tenant_allotments,monthly_rental,"numeric(10,2)",0.00,25500.00,15184.8229,0,19,true
public,tenant_allotments,onboarding_charges,numeric,0,24250,962.9019,0,90,true
public,tenant_allotments,paid_amount,numeric,0,76903,7029.9332,0,868,true
public,tenant_allotments,premium,numeric,0,21500,63.8912,0,1201,true
public,tenant_allotments,processing_fee,numeric,0,911,2.0569,0,1209,true
public,tenant_allotments,prorated_rent,numeric,0,28904,949.6470,0,1086,true
public,tenant_allotments,total_due,numeric,0,76904,3187.5179,0,1091,true
public,tenant_exits,advance_held,numeric,0,45000,22390.4762,0,4,false
public,tenant_exits,damage_charges,numeric,0,0,0.0000,0,147,true
public,tenant_exits,eb_charges,numeric,0,2883,625.1224,0,74,true
public,tenant_exits,exit_charges,numeric,0,2250,1056.1224,0,78,true
