table_schema,table_name,ordinal_position,column_name,data_type,total_rows,non_null_rows,distinct_values
public,eb_rates,1,id,uuid,2,2,2
public,eb_rates,2,organization_id,uuid,2,2,1
public,eb_rates,3,property_id,uuid,2,0,0
public,eb_rates,4,unit_cost,numeric,2,2,2
public,eb_rates,5,from_date,date,2,2,2
public,eb_rates,6,to_date,date,2,1,1
public,eb_rates,7,created_at,timestamp with time zone,2,2,2
public,eb_tenant_shares,1,id,uuid,801,801,801
public,eb_tenant_shares,2,invoice_id,uuid,801,801,801
public,eb_tenant_shares,3,apartment_id,uuid,801,801,35
public,eb_tenant_shares,4,billing_month,text,801,801,5
public,eb_tenant_shares,5,total_apartment_bill,numeric,801,801,170
public,eb_tenant_shares,6,total_tenant_days,integer,801,801,66
public,eb_tenant_shares,7,per_day_rate,numeric,801,801,72
public,eb_tenant_shares,8,tenant_stay_days,integer,801,801,28
public,eb_tenant_shares,9,tenant_eb_charge,numeric,801,801,166
public,eb_tenant_shares,10,total_units,numeric,801,801,171
public,eb_tenant_shares,11,unit_cost,numeric,801,801,1
public,eb_tenant_shares,12,created_at,timestamp with time zone,801,801,17
public,eb_tenant_shares,13,organization_id,uuid,801,801,1
public,eb_tenant_shares,14,tenant_id,uuid,801,148,148
public,electricity_readings,1,id,uuid,1411,1411,1411
public,electricity_readings,2,organization_id,uuid,1411,1411,1
public,electricity_readings,3,property_id,uuid,1411,1411,1
public,electricity_readings,4,apartment_id,uuid,1411,1411,39
public,electricity_readings,5,reading_start,"numeric(10,2)",1411,1411,1252
public,electricity_readings,6,reading_end,"numeric(10,2)",1411,1411,1265
public,electricity_readings,7,units_consumed,"numeric(10,2)",1411,1411,1178
public,electricity_readings,8,unit_cost,"numeric(10,2)",1411,1411,2
public,electricity_readings,9,billing_month,text,1411,1411,39
public,electricity_readings,10,created_at,timestamp with time zone,1411,1411,12
public,electricity_readings,11,meter_photo_url,text,1411,138,138
public,electricity_readings,12,is_locked,boolean,1411,1411,2
public,electricity_readings,13,locked_by,uuid,1411,132,1
public,electricity_shares,1,id,uuid,0,0,0
