schema_name,routine_name,arguments,return_type,kind,language,security_definer,source_length
public,gbt_int4_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_int8_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_float4_penalty,"internal, internal, internal",internal,function,c,false,18
public,gbt_float8_penalty,"internal, internal, internal",internal,function,c,false,18
public,gbt_var_decompress,internal,internal,function,c,false,18
public,gbt_time_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_oid_consistent,"internal, oid, smallint, oid, internal",boolean,function,c,false,18
public,gbt_intv_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_cash_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_macad_compress,internal,internal,function,c,false,18
public,gbt_text_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_bytea_compress,internal,internal,function,c,false,18
public,gbt_bool_picksplit,"internal, internal",internal,function,c,false,18
public,word_similarity_op,"text, text",boolean,function,c,false,18
public,gbt_bit_consistent,"internal, bit, smallint, oid, internal",boolean,function,c,false,18
public,gbt_inet_picksplit,"internal, internal",internal,function,c,false,18
public,array_to_sparsevec,"numeric[], integer, boolean",sparsevec,function,c,false,18
public,array_to_sparsevec,"double precision[], integer, boolean",sparsevec,function,c,false,18
public,gbt_uuid_picksplit,"internal, internal",internal,function,c,false,18
public,array_to_sparsevec,"real[], integer, boolean",sparsevec,function,c,false,18
public,array_to_sparsevec,"integer[], integer, boolean",sparsevec,function,c,false,18
public,gbt_macad8_penalty,"internal, internal, internal",internal,function,c,false,18
public,gbt_enum_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_int2_picksplit,"internal, internal",internal,function,c,false,18
public,gbt_time_compress,internal,internal,function,c,false,17
public,gbt_int4_distance,"internal, integer, smallint, oid, internal",double precision,function,c,false,17
public,gbt_time_distance,"internal, time without time zone, smallint, oid, internal",double precision,function,c,false,17
public,gbt_date_compress,internal,internal,function,c,false,17
public,l2_norm,sparsevec,double precision,function,c,false,17
public,gbt_uuid_compress,internal,internal,function,c,false,17
public,gbt_int8_distance,"internal, bigint, smallint, oid, internal",double precision,function,c,false,17
public,gbt_bool_compress,internal,internal,function,c,false,17
public,gbt_int4_compress,internal,internal,function,c,false,17
public,gbt_tstz_compress,internal,internal,function,c,false,17
public,gbt_numeric_union,"internal, internal",gbtreekey_var,function,c,false,17
public,gbt_int2_distance,"internal, smallint, smallint, oid, internal",double precision,function,c,false,17
public,halfvec_to_float4,"halfvec, integer, boolean",real[],function,c,false,17
public,halfvec_typmod_in,cstring[],integer,function,c,false,17
public,gbt_date_distance,"internal, date, smallint, oid, internal",double precision,function,c,false,17
public,gbt_macad_penalty,"internal, internal, internal",internal,function,c,false,17
public,gbt_intv_compress,internal,internal,function,c,false,17
public,gbt_intv_distance,"internal, interval, smallint, oid, internal",double precision,function,c,false,17
public,halfvec_to_vector,"halfvec, integer, boolean",vector,function,c,false,17
public,gbt_text_compress,internal,internal,function,c,false,17
public,gbt_int2_compress,internal,internal,function,c,false,17
public,vector_to_halfvec,"vector, integer, boolean",halfvec,function,c,false,17
public,gbt_bit_picksplit,"internal, internal",internal,function,c,false,17
public,subvector,"halfvec, integer, integer",halfvec,function,c,false,17
public,gbt_cash_distance,"internal, money, smallint, oid, internal",double precision,function,c,false,17
public,gbt_cash_compress,internal,internal,function,c,false,17
public,gbt_tstz_distance,"internal, timestamp with time zone, smallint, oid, internal",double precision,function,c,false,17
public,gbt_oid_picksplit,"internal, internal",internal,function,c,false,17
public,gbt_int8_compress,internal,internal,function,c,false,17
public,gbt_ts_consistent,"internal, timestamp without time zone, smallint, oid, internal",boolean,function,c,false,17
public,gbt_inet_compress,internal,internal,function,c,false,17
public,gbt_bytea_penalty,"internal, internal, internal",internal,function,c,false,17
public,gbt_enum_compress,internal,internal,function,c,false,17
public,vector_typmod_in,cstring[],integer,function,c,false,16
public,gbt_inet_penalty,"internal, internal, internal",internal,function,c,false,16
public,gbt_oid_distance,"internal, oid, smallint, oid, internal",double precision,function,c,false,16
public,gbt_oid_compress,internal,internal,function,c,false,16
public,gbt_text_penalty,"internal, internal, internal",internal,function,c,false,16
public,hamming_distance,"bit, bit",double precision,function,c,false,16
public,jaccard_distance,"bit, bit",double precision,function,c,false,16
public,gbt_time_penalty,"internal, internal, internal",internal,function,c,false,16
public,gbt_enum_penalty,"internal, internal, internal",internal,function,c,false,16
public,hnsw_bit_support,internal,internal,function,c,false,16
public,vector_to_float4,"vector, integer, boolean",real[],function,c,false,16
public,gbt_ts_picksplit,"internal, internal",internal,function,c,false,16
public,gbt_numeric_same,"gbtreekey_var, gbtreekey_var, internal",internal,function,c,false,16
public,gbt_int4_penalty,"internal, internal, internal",internal,function,c,false,16
