table_schema,table_name,ordinal_position,column_name,data_type,base_type_name,type_category,is_nullable,column_default,is_enum,is_array
public,ai_sessions,9,conversation,jsonb,jsonb,U,false,'[]'::jsonb,false,false
public,ai_sessions,10,disambiguation_candidates,jsonb,jsonb,U,true,null,false,false
public,ai_sessions,11,created_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,ai_sessions,12,updated_at,timestamp with time zone,timestamptz,D,false,now(),false,false
public,announcements,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,announcements,2,organization_id,uuid,uuid,U,false,null,false,false
public,announcements,3,title,text,text,S,false,null,false,false
public,announcements,4,content,text,text,S,false,null,false,false
public,announcements,5,priority,text,text,S,true,'normal'::text,false,false
public,announcements,6,is_published,boolean,bool,B,true,false,false,false
public,announcements,7,published_at,timestamp with time zone,timestamptz,D,true,null,false,false
public,announcements,8,created_by,uuid,uuid,U,true,null,false,false
public,announcements,9,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,announcements,10,updated_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,announcements,11,image_url,text,text,S,true,null,false,false
public,apartments,1,id,uuid,uuid,U,false,gen_random_uuid(),false,false
public,apartments,2,organization_id,uuid,uuid,U,false,null,false,false
public,apartments,3,property_id,uuid,uuid,U,false,null,false,false
public,apartments,4,apartment_code,text,text,S,false,null,false,false
public,apartments,5,floor_number,integer,int4,N,true,null,false,false
public,apartments,6,status,entity_status,entity_status,E,true,'In-Progress'::entity_status,true,false
public,apartments,7,created_at,timestamp with time zone,timestamptz,D,true,now(),false,false
public,apartments,8,apartment_type,text,text,S,true,null,false,false
public,apartments,9,size_sqft,numeric,numeric,N,true,null,false,false
public,apartments,10,owner_id,uuid,uuid,U,true,null,false,false
public,apartments,11,gender_allowed,text,text,S,true,'both'::text,false,false
public,apartments,12,eb_meter_number,text,text,S,true,null,false,false
public,apartments,13,start_date,date,date,D,true,null,false,false
public,apartments,14,end_date,date,date,D,true,null,false,false
public,apartments,15,signing_date,date,date,D,true,null,false,false
public,apartments,16,property_tax_id,text,text,S,true,null,false,false
public,apartments,17,property_tax_amount,numeric,numeric,N,true,0,false,false
public,apartments,18,property_tax_frequency,text,text,S,true,'yearly'::text,false,false
public,apartments,19,water_tax_id,text,text,S,true,null,false,false
public,apartments,20,water_tax_amount,numeric,numeric,N,true,0,false,false
public,apartments,21,water_tax_frequency,text,text,S,true,'yearly'::text,false,false
public,apartments,22,ownership_doc_url,text,text,S,true,null,false,false
public,apartments,23,eb_card_number,text,text,S,true,null,false,false
public,apartments,24,eb_consumer_number,text,text,S,true,null,false,false
public,apartments,25,eb_connection_type,text,text,S,true,'LT'::text,false,false
public,apartments,26,eb_sanctioned_load,numeric,numeric,N,true,0,false,false
public,apartments,27,eb_card_photo_url,text,text,S,true,null,false,false
public,apartments,28,star_rating,integer,int4,N,true,null,false,false
