table_schema,table_name,index_name,is_unique,is_partial,definition
public,deposit_settlements,idx_settlements_org_settlement_date,false,false,"CREATE INDEX idx_settlements_org_settlement_date ON public.deposit_settlements USING btree (organization_id, settlement_date)"
public,deposit_settlements,uq_deposit_settlements_open_per_allotment,true,true,"CREATE UNIQUE INDEX uq_deposit_settlements_open_per_allotment ON public.deposit_settlements USING btree (allotment_id) WHERE ((COALESCE(is_deleted, false) = false) AND (COALESCE(status, ''::text) <> 'completed'::text) AND (allotment_id IS NOT NULL))"
public,diagnostic_sessions,diagnostic_sessions_pkey,true,false,CREATE UNIQUE INDEX diagnostic_sessions_pkey ON public.diagnostic_sessions USING btree (id)
public,eb_monitoring_readings,eb_monitoring_readings_apt_date_idx,false,false,"CREATE INDEX eb_monitoring_readings_apt_date_idx ON public.eb_monitoring_readings USING btree (apartment_id, reading_date DESC)"
public,eb_monitoring_readings,eb_monitoring_readings_org_idx,false,false,CREATE INDEX eb_monitoring_readings_org_idx ON public.eb_monitoring_readings USING btree (organization_id)
public,eb_monitoring_readings,eb_monitoring_readings_pkey,true,false,CREATE UNIQUE INDEX eb_monitoring_readings_pkey ON public.eb_monitoring_readings USING btree (id)
public,eb_monitoring_readings,eb_monitoring_readings_prop_apt_uidx,true,false,"CREATE UNIQUE INDEX eb_monitoring_readings_prop_apt_uidx ON public.eb_monitoring_readings USING btree (property_id, apartment_id)"
public,eb_monitoring_readings,eb_monitoring_readings_prop_date_idx,false,false,"CREATE INDEX eb_monitoring_readings_prop_date_idx ON public.eb_monitoring_readings USING btree (property_id, reading_date DESC)"
public,eb_payments,eb_payments_pkey,true,false,CREATE UNIQUE INDEX eb_payments_pkey ON public.eb_payments USING btree (id)
public,eb_payments,idx_eb_payments_bank_account_id,false,true,CREATE INDEX idx_eb_payments_bank_account_id ON public.eb_payments USING btree (bank_account_id) WHERE (bank_account_id IS NOT NULL)
public,eb_rates,eb_rates_pkey,true,false,CREATE UNIQUE INDEX eb_rates_pkey ON public.eb_rates USING btree (id)
public,eb_rates,no_overlapping_eb_rates,false,false,"CREATE INDEX no_overlapping_eb_rates ON public.eb_rates USING gist (organization_id, COALESCE(property_id, '00000000-0000-0000-0000-000000000000'::uuid), daterange(from_date, COALESCE(to_date, '9999-12-31'::date), '[]'::text))"
public,eb_tenant_shares,eb_tenant_shares_pkey,true,false,CREATE UNIQUE INDEX eb_tenant_shares_pkey ON public.eb_tenant_shares USING btree (id)
public,eb_tenant_shares,idx_eb_shares_org_month,false,false,"CREATE INDEX idx_eb_shares_org_month ON public.eb_tenant_shares USING btree (organization_id, billing_month)"
public,eb_tenant_shares,idx_eb_shares_tenant,false,false,"CREATE INDEX idx_eb_shares_tenant ON public.eb_tenant_shares USING btree (tenant_id, billing_month)"
public,electricity_readings,electricity_readings_pkey,true,false,CREATE UNIQUE INDEX electricity_readings_pkey ON public.electricity_readings USING btree (id)
public,electricity_readings,idx_elec_readings_org_month,false,false,"CREATE INDEX idx_elec_readings_org_month ON public.electricity_readings USING btree (organization_id, billing_month)"
public,electricity_readings,idx_electricity_readings_apartment_id,false,false,CREATE INDEX idx_electricity_readings_apartment_id ON public.electricity_readings USING btree (apartment_id)
public,electricity_readings,idx_electricity_readings_billing_month_property,false,false,"CREATE INDEX idx_electricity_readings_billing_month_property ON public.electricity_readings USING btree (billing_month, property_id)"
public,electricity_shares,electricity_shares_pkey,true,false,CREATE UNIQUE INDEX electricity_shares_pkey ON public.electricity_shares USING btree (id)
public,email_templates,email_templates_org_type_unique,true,false,"CREATE UNIQUE INDEX email_templates_org_type_unique ON public.email_templates USING btree (organization_id, email_type)"
public,email_templates,email_templates_pkey,true,false,CREATE UNIQUE INDEX email_templates_pkey ON public.email_templates USING btree (id)
public,employee_specialties,employee_specialties_pkey,true,false,CREATE UNIQUE INDEX employee_specialties_pkey ON public.employee_specialties USING btree (id)
public,employees,employees_employee_id_key,true,false,CREATE UNIQUE INDEX employees_employee_id_key ON public.employees USING btree (employee_id)
public,employees,employees_pkey,true,false,CREATE UNIQUE INDEX employees_pkey ON public.employees USING btree (id)
public,employees,idx_employees_company,false,false,CREATE INDEX idx_employees_company ON public.employees USING btree (company_id)
public,employees,idx_employees_department,false,false,CREATE INDEX idx_employees_department ON public.employees USING btree (department_id)
public,employees,idx_employees_email,false,false,CREATE INDEX idx_employees_email ON public.employees USING btree (email)
public,employees,idx_employees_status,false,false,CREATE INDEX idx_employees_status ON public.employees USING btree (status)
public,employees_sync,employees_sync_pkey,true,false,CREATE UNIQUE INDEX employees_sync_pkey ON public.employees_sync USING btree (id)
public,employees_sync,employees_sync_record_id_key,true,false,CREATE UNIQUE INDEX employees_sync_record_id_key ON public.employees_sync USING btree (record_id)
public,enquiries,enquiries_phone_uniq,true,false,CREATE UNIQUE INDEX enquiries_phone_uniq ON public.enquiries USING btree (phone)
public,enquiries,enquiries_pkey,true,false,CREATE UNIQUE INDEX enquiries_pkey ON public.enquiries USING btree (id)
public,enquiries,idx_enquiries_created,false,false,CREATE INDEX idx_enquiries_created ON public.enquiries USING btree (created_at DESC)
public,enquiries,idx_enquiries_org_status,false,false,"CREATE INDEX idx_enquiries_org_status ON public.enquiries USING btree (organization_id, status)"
public,enquiries,idx_enquiries_phone,false,false,CREATE INDEX idx_enquiries_phone ON public.enquiries USING btree (phone)
public,exit_tasks,exit_tasks_pkey,true,false,CREATE UNIQUE INDEX exit_tasks_pkey ON public.exit_tasks USING btree (id)
public,exit_tasks,idx_exit_tasks_allotment,false,false,"CREATE INDEX idx_exit_tasks_allotment ON public.exit_tasks USING btree (organization_id, allotment_id)"
public,exit_tasks,idx_exit_tasks_date,false,false,"CREATE INDEX idx_exit_tasks_date ON public.exit_tasks USING btree (organization_id, exit_date)"
public,expense_bed_allocations,expense_bed_allocations_pkey,true,false,CREATE UNIQUE INDEX expense_bed_allocations_pkey ON public.expense_bed_allocations USING btree (id)
public,expense_bed_allocations,idx_expense_bed_alloc_bed,false,false,CREATE INDEX idx_expense_bed_alloc_bed ON public.expense_bed_allocations USING btree (bed_id)
public,expense_bed_allocations,idx_expense_bed_alloc_expense,false,false,CREATE INDEX idx_expense_bed_alloc_expense ON public.expense_bed_allocations USING btree (expense_id)
public,expense_bed_allocations,idx_expense_bed_alloc_org,false,false,CREATE INDEX idx_expense_bed_alloc_org ON public.expense_bed_allocations USING btree (organization_id)
public,expense_categories,expense_categories_new_organization_id_key_key,true,false,"CREATE UNIQUE INDEX expense_categories_new_organization_id_key_key ON public.expense_categories USING btree (organization_id, key)"
public,expense_categories,expense_categories_new_pkey,true,false,CREATE UNIQUE INDEX expense_categories_new_pkey ON public.expense_categories USING btree (id)
public,expense_categories,idx_expense_categories_gl,false,false,CREATE INDEX idx_expense_categories_gl ON public.expense_categories USING btree (gl_account_id)
public,expense_categories,idx_expense_categories_org,false,false,CREATE INDEX idx_expense_categories_org ON public.expense_categories USING btree (organization_id)
public,expense_subcategories,expense_subcategories_pkey,true,false,CREATE UNIQUE INDEX expense_subcategories_pkey ON public.expense_subcategories USING btree (id)
public,expense_subcategories,idx_expense_subcategories_cat,false,false,CREATE INDEX idx_expense_subcategories_cat ON public.expense_subcategories USING btree (category_id)
public,expense_subcategories,idx_expense_subcategories_gl,false,false,CREATE INDEX idx_expense_subcategories_gl ON public.expense_subcategories USING btree (gl_account_id)
public,expense_subcategories,idx_expense_subcategories_org_cat,false,false,"CREATE INDEX idx_expense_subcategories_org_cat ON public.expense_subcategories USING btree (organization_id, category_id)"
public,expenses,expenses_pkey,true,false,CREATE UNIQUE INDEX expenses_pkey ON public.expenses USING btree (id)
public,expenses,expenses_team_payment_id_key,true,true,CREATE UNIQUE INDEX expenses_team_payment_id_key ON public.expenses USING btree (team_payment_id) WHERE (team_payment_id IS NOT NULL)
public,expenses,expenses_ticket_resolution_id_unique,true,true,CREATE UNIQUE INDEX expenses_ticket_resolution_id_unique ON public.expenses USING btree (ticket_resolution_id) WHERE (ticket_resolution_id IS NOT NULL)
public,expenses,idx_expenses_asset_type_id,false,false,CREATE INDEX idx_expenses_asset_type_id ON public.expenses USING btree (asset_type_id)
public,expenses,idx_expenses_bank_account_id,false,true,CREATE INDEX idx_expenses_bank_account_id ON public.expenses USING btree (bank_account_id) WHERE (bank_account_id IS NOT NULL)
public,expenses,idx_expenses_billing_month,false,false,CREATE INDEX idx_expenses_billing_month ON public.expenses USING btree (billing_month)
public,expenses,idx_expenses_category_id,false,false,CREATE INDEX idx_expenses_category_id ON public.expenses USING btree (category_id)
public,expenses,idx_expenses_issue_type_id,false,false,CREATE INDEX idx_expenses_issue_type_id ON public.expenses USING btree (issue_type_id)
public,expenses,idx_expenses_org_expense_date,false,false,"CREATE INDEX idx_expenses_org_expense_date ON public.expenses USING btree (organization_id, expense_date)"
public,expenses,idx_expenses_property_id,false,false,CREATE INDEX idx_expenses_property_id ON public.expenses USING btree (property_id)
