table_schema,table_name,column_name,data_type,total_rows,non_null_rows,min_value,max_value,distinct_days,distinct_months,rows_before_2019,rows_after_today
public,organization_bank_accounts,created_at,timestamp with time zone,5,5,2026-03-17 16:23:23.106076+00,2026-03-25 19:34:33.060929+00,2,1,0,0
public,organization_subscriptions,cancelled_at,timestamp with time zone,1,0,null,null,0,0,0,0
public,organization_subscriptions,created_at,timestamp with time zone,1,1,2026-04-05 12:25:57.899319+00,2026-04-05 12:25:57.899319+00,1,1,0,0
public,organization_subscriptions,current_period_end,date,1,1,2027-04-05,2027-04-05,1,1,0,1
public,organization_subscriptions,current_period_start,date,1,1,2026-04-05,2026-04-05,1,1,0,0
public,organization_subscriptions,trial_ends_at,date,1,0,null,null,0,0,0,0
public,organization_subscriptions,updated_at,timestamp with time zone,1,1,2026-04-05 12:25:57.899319+00,2026-04-05 12:25:57.899319+00,1,1,0,0
public,organizations,created_at,timestamp with time zone,1,1,2026-03-16 17:36:35.764299+00,2026-03-16 17:36:35.764299+00,1,1,0,0
public,otp_codes,created_at,timestamp with time zone,6,6,2026-07-03 15:09:50.146092+00,2026-08-19 02:32:16.815088+00,6,2,0,0
public,otp_codes,expires_at,timestamp with time zone,6,6,2026-07-03 15:14:49.878+00,2026-08-19 02:37:15.816+00,6,2,0,0
public,owner_contracts,created_at,timestamp with time zone,35,35,2026-04-01 07:36:12.505441+00,2026-04-17 13:09:26.379776+00,3,1,0,0
public,owner_contracts,end_date,date,35,35,2025-03-31,2032-03-31,10,10,0,33
public,owner_contracts,renewal_date,date,35,35,2024-12-31,2031-12-31,10,10,0,33
public,owner_contracts,start_date,date,35,35,2022-10-01,2025-08-01,9,9,0,0
public,owner_payments,actual_due_date,date,345,345,2022-11-09,2026-08-09,109,46,0,0
public,owner_payments,bill_date,date,345,345,2022-11-01,2026-08-01,46,46,0,0
public,owner_payments,created_at,timestamp with time zone,345,345,2026-08-13 09:14:24.263788+00,2026-08-13 09:14:39.919374+00,1,1,0,0
public,owner_payments,due_date,date,345,345,2022-11-09,2026-08-09,115,46,0,0
public,owner_payments,paid_date,date,345,125,2023-11-05,2026-08-10,63,25,0,0
public,owners,created_at,timestamp with time zone,13,12,2025-06-28 15:17:17+00,2025-06-28 15:17:17+00,1,1,0,0
public,payment_proofs,created_at,timestamp with time zone,24,24,2026-08-07 07:36:47.031665+00,2026-08-29 04:29:12.738417+00,10,1,0,1
public,payroll,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,payroll,paid_date,date,0,0,null,null,0,0,0,0
public,payroll_sync,period_end,date,18,18,2026-06-28,2026-06-28,1,1,0,0
public,payroll_sync,period_start,date,18,18,2026-05-29,2026-05-29,1,1,0,0
public,payroll_sync,synced_at,timestamp with time zone,18,18,2026-06-29 06:19:53.533+00,2026-06-29 06:20:03.303+00,1,1,0,0
public,profiles,created_at,timestamp with time zone,222,222,2026-03-16 17:46:06.001449+00,2026-08-29 06:59:11.132759+00,107,6,0,1
public,profiles,updated_at,timestamp with time zone,222,222,2026-03-16 17:46:06.001449+00,2026-08-29 06:59:11.132759+00,107,6,0,1
public,properties,created_at,timestamp with time zone,1,1,2026-03-16 17:46:59.714781+00,2026-03-16 17:46:59.714781+00,1,1,0,0
public,properties,start_date,date,1,1,2023-04-01,2023-04-01,1,1,0,0
public,property_images,created_at,timestamp with time zone,2,2,2026-05-22 03:00:26.137646+00,2026-05-22 03:00:51.639141+00,1,1,0,0
public,purchase_items,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
public,purchase_orders,created_at,timestamp with time zone,0,0,null,null,0,0,0,0
